reward_today	future_reward	delay	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	text.started	key_resp.started	fixation.stopped	trial.stopped	key_resp.keys	key_resp.rt	key_resp.duration	participant	session	date	expName	psychopyVersion	frameRate	expStart				k		
37	50	21	10	1	71	2	243.2881521		243.2620587	243.2881521	244.2723112	244.2723112	244.2890303	245.5611561	l	1.2751363	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
15	35	13	10	4	74	1	250.0217885		249.9956737	250.0217885	251.0062721	251.0062721	251.0235776	251.7148244	l	0.7013387	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
40	55	62	10	6	76	3	253.6898454		253.6787669	253.6898454	254.6901609	254.6901609	254.6901609	255.8313035	l	1.1344948	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
37	50	21	11	0	77	2	255.8558199		255.8322221	255.8558199	256.8397674	256.8397674	256.8566859	257.9803942	l	1.1230592	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
15	35	13	11	1	78	1	258.0062027		257.9813353	258.0062027	258.9905033	258.9905033	259.006669	259.7625248	l	0.7675912	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
11	30	7	11	2	79	0	259.7736728		259.7632278	259.7736728	260.773829	260.773829	260.773829	261.3812185	l	0.6020002	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
40	55	62	12	2	86	3	280.0918006		280.0677815	280.0918006	281.0756697	281.0756697	281.0921851	281.8807605	l	0.7949756	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
49	60	89	12	3	87	4	281.908578		281.8814718	281.908578	282.8929213	282.8929213	282.9093938	284.4512314	l	1.5513611	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
11	30	7	12	4	88	0	284.4756909		284.4521949	284.4756909	285.4597868	285.4597868	285.4763767	287.4832672	l	2.0191033	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
15	35	13	12	5	89	1	287.5093461		287.4841112	287.5093461	288.4933464	288.4933464	288.5102073	290.0519462	l	1.5431042	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	12	6	90	2	290.0760013		290.0531467	290.0760013	291.0603331	291.0603331	291.0772943	292.3317819	l	1.2587159	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
15	35	13	13	1	92	1	294.8265506		294.8036694	294.8265506	295.8106744	295.8106744	295.8275856	296.9695971	l	1.1462184	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	13	2	93	2	296.993295		296.970791	296.993295	297.9775849	297.9775849	297.9945008	299.266745	l	1.2724129	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
11	30	7	13	4	95	0	301.3444804		301.3334318	301.3444804	302.3446959	302.3446959	302.3446959	303.700132	l	1.3529682	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
15	35	13	14	2	100	1	311.6784754		311.6528501	311.6784754	312.6626522	312.6626522	312.6788459	313.5363924	l	0.8678	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	14	3	101	2	313.5619129		313.5372635	313.5619129	314.5460566	314.5460566	314.5626594	315.8350248	l	1.2867337	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
40	55	62	14	4	102	3	315.8460859		315.8357878	315.8460859	316.8462502	316.8462502	316.8462502	317.6682606	l	0.8179786	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
11	30	7	14	5	103	0	317.6794241		317.6689915	317.6794241	318.6799964	318.6799964	318.6799964	319.5685216	l	0.8766969	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		0.038632359
40	55	62	0	0	0	3	0.3449523		0.0443962	0.3449523	1.0291086	1.0291086	1.3476114	16.5200819	t	15.4810387	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
49	60	89	0	4	4	4	25.9000859		25.8891261	25.9000859	26.9003011	26.9003011	26.9003011	28.1886425	t	1.281071	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
15	35	13	0	5	5	1	28.2151941		28.1893449	28.2151941	29.2157591	29.2157591	29.2337315	29.7554475	t	0.5277133	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	0	6	6	2	29.7670278		29.7561598	29.7670278	30.7669217	30.7669217	30.7669217	31.0897732	t	0.3163964	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
15	35	13	1	0	7	1	31.1164999		31.0907323	31.1164999	32.1006996	32.1006996	32.1169889	32.4582107	t	0.3431554	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
11	30	7	1	2	9	0	33.6664823		33.6403787	33.6664823	34.6509451	34.6509451	34.6678028	35.2561931	t	0.596629	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
78	80	162	1	3	10	6	35.2834623		35.2569705	35.2834623	36.2676881	36.2676881	36.2843039	36.626342	t	0.3558808	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	1	4	11	5	36.6502314		36.627529	36.6502314	37.6361485	37.6361485	37.6515464	37.8966362	t	0.25402	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
37	50	21	1	5	12	2	37.9168954		37.8989181	37.9168954	38.9012066	38.9012066	38.9183073	39.1240372	t	0.2102121	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
40	55	62	2	1	15	3	41.8847452		41.8742549	41.8847452	42.8850863	42.8850863	42.8850863	43.5109353	t	0.6126947	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
78	80	162	2	2	16	6	43.5342225		43.5127714	43.5342225	44.5186702	44.5186702	44.5350001	45.0247075	t	0.501891	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
37	50	21	2	4	18	2	46.4014354		46.3776262	46.4014354	47.3853297	47.3853297	47.4022428	47.9769412	t	0.5899575	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
67	75	119	2	5	19	5	48.0010892		47.9780746	48.0010892	48.985521	48.985521	49.0024639	50.2079619	t	1.2093856	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
15	35	13	2	6	20	1	50.2348858		50.209179	50.2348858	51.2193267	51.2193267	51.2354998	55.0771423	t	3.8451583	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
78	80	162	3	1	22	6	56.6020922		56.5759139	56.6020922	57.5863778	57.5863778	57.6032329	60.6429141	t	3.0512341	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
40	55	62	3	2	23	3	60.6692833		60.6436296	60.6692833	61.653192	61.653192	61.6704687	63.0774142	t	1.4129954	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.006048387		
15	35	13	3	3	24	1	63.1028792		63.0782706	63.1028792	64.0871674	64.0871674	64.1040754	65.626005	t	1.5256375	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
37	50	21	3	6	27	2	76.1541483		76.1305978	76.1541483	77.1385349	77.1385349	77.1550151	78.5113307	t	1.3612551	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
11	30	7	4	0	28	0	78.5378238		78.5121066	78.5378238	79.5223023	79.5223023	79.5387332	81.0440207	t	1.5092909	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.246753247		
37	50	21	4	1	29	2	81.0717053		81.0447761	81.0717053	82.0554238	82.0554238	82.0727072	84.0461171	t	1.9861898	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.016731017		
78	80	162	4	2	30	6	84.0717107		84.0470698	84.0717107	85.0557125	85.0557125	85.072669	87.4948675	t	2.4318441	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
67	75	119	4	3	31	5	87.522101		87.4956004	87.522101	88.5064854	88.5064854	88.5229315	90.7816657	t	2.2682081	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
15	35	13	4	4	32	1	90.8056863		90.7825925	90.8056863	91.7901034	91.7901034	91.8066635	96.2618498	t	4.4682445	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
49	60	89	4	6	34	4	101.2072317		101.1970748	101.2072317	102.2078115	102.2078115	102.2078115	108.3173483	t	6.1011455	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.002522357		
78	80	162	5	0	35	6	108.3409444		108.3185635	108.3409444	109.32499	109.32499	109.3418461	117.9809085	t	8.6500666	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
15	35	13	5	1	36	1	117.992311		117.9816413	117.992311	118.991589	118.991589	118.991589	124.7683329	t	5.7700998	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.102564103		
67	75	119	6	0	42	5	146.7120276		146.701173	146.7120276	147.7124508	147.7124508	147.7124508	148.6177571	t	0.8929426	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.001003386		
78	80	162	6	2	44	6	150.6282013		150.6044335	150.6282013	151.6299877	151.6299877	151.6299877	154.2030347	t	2.5669649	None	185266	1	2024-11-21_14h12.29.385	delay discounting	2024.1.5	None	2024-11-21 14h12.43.600875 +0530				0.000158278		
